[2025-03-29 17:08:10,281] INFO - Starting fold 1
[2025-03-29 17:08:10,281] INFO - Constructing hypergraph incidence matrix! (This may take several minutes...)
[2025-03-29 17:08:12,719] INFO - Constructing hypergraph incidence matrix! (This may take several minutes...)
[2025-03-29 17:08:13,865] INFO - Constructing hypergraph incidence matrix! (This may take several minutes...)
[2025-03-29 17:08:23,931] INFO - Fold 1 Epoch 290: Test Loss 0.6373, Test Acc 0.6143, Test F1 0.6007
[2025-03-29 17:08:24,057] INFO - Fold 1 Epoch 295: Train Loss 0.5639, Train Acc 0.6918, Train F1 0.6906
[2025-03-29 17:08:24,057] INFO - Fold 1 Epoch 295: Test Loss 0.5644, Test Acc 0.6429, Test F1 0.6395
[2025-03-29 17:08:24,171] INFO - Fold 1 Epoch 300: Train Loss 0.5712, Train Acc 0.6882, Train F1 0.6794
[2025-03-29 17:08:24,171] INFO - Fold 1 Epoch 300: Test Loss 0.5893, Test Acc 0.7143, Test F1 0.7143
[2025-03-29 17:08:24,292] INFO - Fold 1 Epoch 305: Train Loss 0.6074, Train Acc 0.6738, Train F1 0.6738
[2025-03-29 17:08:24,292] INFO - Fold 1 Epoch 305: Test Loss 0.6414, Test Acc 0.6143, Test F1 0.6007
[2025-03-29 17:08:24,416] INFO - Fold 1 Epoch 310: Train Loss 0.5830, Train Acc 0.6882, Train F1 0.6882
[2025-03-29 17:08:24,416] INFO - Fold 1 Epoch 310: Test Loss 0.5987, Test Acc 0.6000, Test F1 0.5919
[2025-03-29 17:08:24,555] INFO - Fold 1 Epoch 315: Train Loss 0.5817, Train Acc 0.6882, Train F1 0.6882
[2025-03-29 17:08:24,555] INFO - Fold 1 Epoch 315: Test Loss 0.5989, Test Acc 0.6000, Test F1 0.5919
[2025-03-29 17:08:24,690] INFO - Fold 1 Epoch 320: Train Loss 0.5818, Train Acc 0.6738, Train F1 0.6739
[2025-03-29 17:08:24,690] INFO - Fold 1 Epoch 320: Test Loss 0.5934, Test Acc 0.6000, Test F1 0.5881
[2025-03-29 17:08:24,812] INFO - Fold 1 Epoch 325: Train Loss 0.5598, Train Acc 0.7061, Train F1 0.7037
[2025-03-29 17:08:24,812] INFO - Fold 1 Epoch 325: Test Loss 0.5565, Test Acc 0.6429, Test F1 0.6395
[2025-03-29 17:08:24,936] INFO - Fold 1 Epoch 330: Train Loss 0.5636, Train Acc 0.6953, Train F1 0.6917
[2025-03-29 17:08:24,937] INFO - Fold 1 Epoch 330: Test Loss 0.5873, Test Acc 0.6714, Test F1 0.6700
[2025-03-29 17:08:25,076] INFO - Fold 1 Epoch 335: Train Loss 0.6270, Train Acc 0.6738, Train F1 0.6738
[2025-03-29 17:08:25,076] INFO - Fold 1 Epoch 335: Test Loss 0.6893, Test Acc 0.6143, Test F1 0.6007
[2025-03-29 17:08:25,218] INFO - Fold 1 Epoch 340: Train Loss 0.5724, Train Acc 0.6989, Train F1 0.6989
[2025-03-29 17:08:25,218] INFO - Fold 1 Epoch 340: Test Loss 0.5802, Test Acc 0.6000, Test F1 0.5919
[2025-03-29 17:08:25,360] INFO - Fold 1 Epoch 345: Train Loss 0.6112, Train Acc 0.6667, Train F1 0.6428
[2025-03-29 17:08:25,360] INFO - Fold 1 Epoch 345: Test Loss 0.6981, Test Acc 0.6857, Test F1 0.6689
[2025-03-29 17:08:25,505] INFO - Fold 1 Epoch 350: Train Loss 0.5591, Train Acc 0.6953, Train F1 0.6948
[2025-03-29 17:08:25,505] INFO - Fold 1 Epoch 350: Test Loss 0.5531, Test Acc 0.6429, Test F1 0.6395
[2025-03-29 17:08:25,646] INFO - Fold 1 Epoch 355: Train Loss 0.5754, Train Acc 0.6810, Train F1 0.6811
[2025-03-29 17:08:25,646] INFO - Fold 1 Epoch 355: Test Loss 0.5849, Test Acc 0.6000, Test F1 0.5881
[2025-03-29 17:08:25,785] INFO - Fold 1 Epoch 360: Train Loss 0.5581, Train Acc 0.6918, Train F1 0.6873
[2025-03-29 17:08:25,785] INFO - Fold 1 Epoch 360: Test Loss 0.5640, Test Acc 0.6714, Test F1 0.6700
[2025-03-29 17:08:25,925] INFO - Fold 1 Epoch 365: Train Loss 0.5980, Train Acc 0.6738, Train F1 0.6519
[2025-03-29 17:08:25,925] INFO - Fold 1 Epoch 365: Test Loss 0.6633, Test Acc 0.6857, Test F1 0.6689
[2025-03-29 17:08:26,072] INFO - Fold 1 Epoch 370: Train Loss 0.6189, Train Acc 0.6667, Train F1 0.6665
